Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
271,True,0,499,5,280,200,299,0.23975640038971074,0.003471199999694363,200
272,True,15,499,5,280,200,294,0.4576280047221155,0.05055050000009942,200
273,True,31,499,5,280,200,299,0.22942218771259626,0.10210840000036114,200
274,True,3,499,5,280,200,298,0.19728203490619178,0.013395400001172675,200
275,True,16,499,5,280,200,285,0.5035451129970749,0.05450179999934335,200
276,True,13,499,5,280,200,298,0.3759770246852374,0.045039800001177355,200
277,True,57,499,5,280,200,298,0.28716618934410765,0.18494189999910304,200
278,True,18,499,5,280,200,299,0.1499334064921587,0.06038059999991674,200
279,True,22,499,5,280,200,299,0.09334488461979085,0.0744247999991785,200
280,True,7,499,5,280,200,299,0.20114267460570767,0.025744200000190176,200
281,True,25,499,5,280,200,281,0.560216715211917,0.08491230000072392,200
282,True,2,499,5,280,200,299,0.0606839009831222,0.010259099999530008,200
283,True,31,499,5,280,200,297,1.1164492651902407,0.10219089999918651,200
284,True,18,499,5,280,200,289,0.930202707381844,0.06011860000035085,200
285,True,7,499,5,280,200,294,0.4958942553795297,0.02566600000136532,200
286,True,11,499,5,280,200,299,0.15985014536461584,0.03830749999906402,200
287,True,1,499,5,280,200,287,0.750169736389012,0.007026899998891167,200
288,True,26,499,5,280,200,299,0.368060998174979,0.08565900000030524,200
289,True,12,499,5,280,200,299,0.11105657944441004,0.04131439999946451,200
290,True,48,499,5,280,200,299,0.07704311253121593,0.1558210000002873,200
291,True,0,499,5,280,200,284,0.4002121796705948,0.0035511000005499227,200
292,True,18,499,5,280,200,298,0.3332167195046242,0.060597300000154064,200
293,True,32,499,5,280,200,299,0.2034224249136815,0.10511529999894265,200
294,True,11,499,5,280,200,299,0.19062336078904718,0.037965200001053745,200
295,True,0,499,5,280,200,282,0.7042315467862681,0.003462099999524071,200
296,True,4,499,5,280,200,298,0.2953685563571481,0.01599720000012894,200
297,True,2,499,5,280,200,299,0.08757153981171269,0.00989329999902111,200
298,True,22,499,5,280,200,299,0.12484728789827404,0.07353990000046906,200
299,True,1,499,5,280,200,299,0.18200770966087482,0.006640899999183603,200
300,True,45,599,5,280,200,299,0.15446619580626939,0.17478839999967022,300
301,True,13,599,5,280,200,296,0.43075474126006463,0.053844099998968886,300
302,True,43,599,5,280,200,288,0.6905403467586824,0.1646669000001566,300
303,True,12,599,5,280,200,299,0.128167020985677,0.049152999999932945,300
304,True,28,599,5,280,200,294,0.7997846852688071,0.1093005999991874,300
305,True,82,599,5,280,200,299,0.08410201059643613,0.310685000000376,300
306,True,7,599,5,280,200,294,0.9301824274559016,0.030228300000089803,300
307,True,8,599,5,280,200,299,0.14661278356861776,0.034065399999235524,300
308,True,36,599,5,280,200,282,0.666660519284436,0.14104320000114967,300
309,True,28,599,5,280,200,299,0.20888512233049622,0.10916100000031292,300
310,True,4,599,5,280,200,284,0.8308243099740658,0.019253399999797693,300
311,True,14,599,5,280,200,299,0.4119884937090446,0.05657509999946342,300
